Date,Package,Version,Count
2023-03-29,plugin/k8saudit-eks,0.1.0,59974
2023-03-29,plugin/k8saudit-eks,0.1.0,60202
2023-03-30,plugin/k8saudit-eks,0.1.0,61381
2023-03-31,plugin/k8saudit-eks,0.1.0,64226
2023-03-31,plugin/k8saudit-eks,0.1.1,346
2023-04-01,plugin/k8saudit-eks,0.1.0,66464
2023-04-01,plugin/k8saudit-eks,0.1.1,1498
2023-04-02,plugin/k8saudit-eks,0.1.0,67106
2023-04-02,plugin/k8saudit-eks,0.1.1,1927
2023-04-03,plugin/k8saudit-eks,0.1.0,67997
2023-04-03,plugin/k8saudit-eks,0.1.1,2263
2023-04-04,plugin/k8saudit-eks,0.1.0,70754
2023-04-04,plugin/k8saudit-eks,0.1.1,3218
2023-04-05,plugin/k8saudit-eks,0.1.0,73331
2023-04-05,plugin/k8saudit-eks,0.1.1,3767
2023-04-06,plugin/k8saudit-eks,0.1.0,76289
2023-04-06,plugin/k8saudit-eks,0.1.1,5181
2023-04-07,plugin/k8saudit-eks,0.1.0,79340
2023-04-07,plugin/k8saudit-eks,0.1.1,6453
2023-04-08,plugin/k8saudit-eks,0.1.0,81452
2023-04-08,plugin/k8saudit-eks,0.1.1,7242
2023-04-09,plugin/k8saudit-eks,0.1.0,82538
2023-04-09,plugin/k8saudit-eks,0.1.1,7770
2023-04-10,plugin/k8saudit-eks,0.1.0,83210
2023-04-10,plugin/k8saudit-eks,0.1.1,8292
2023-04-11,plugin/k8saudit-eks,0.1.0,85280
2023-04-11,plugin/k8saudit-eks,0.1.1,8760
2023-04-12,plugin/k8saudit-eks,0.1.0,88229
2023-04-12,plugin/k8saudit-eks,0.1.1,9051
2023-04-13,plugin/k8saudit-eks,0.1.0,90545
2023-04-13,plugin/k8saudit-eks,0.1.1,9084
2023-04-13,plugin/k8saudit-eks,0.1.2,736
2023-04-14,plugin/k8saudit-eks,0.1.0,91427
2023-04-14,plugin/k8saudit-eks,0.1.1,9084
2023-04-14,plugin/k8saudit-eks,0.1.2,970
2023-04-15,plugin/k8saudit-eks,0.1.0,92720
2023-04-15,plugin/k8saudit-eks,0.1.1,9084
2023-04-15,plugin/k8saudit-eks,0.1.2,1033
2023-04-16,plugin/k8saudit-eks,0.1.0,92780
2023-04-16,plugin/k8saudit-eks,0.1.1,9084
2023-04-16,plugin/k8saudit-eks,0.1.2,1072
2023-04-17,plugin/k8saudit-eks,0.1.0,92939
2023-04-17,plugin/k8saudit-eks,0.1.1,9084
2023-04-17,plugin/k8saudit-eks,0.1.2,1153
2023-04-18,plugin/k8saudit-eks,0.1.0,94367
2023-04-18,plugin/k8saudit-eks,0.1.1,9084
2023-04-18,plugin/k8saudit-eks,0.1.2,1291
2023-04-19,plugin/k8saudit-eks,0.1.0,95462
2023-04-19,plugin/k8saudit-eks,0.1.1,9084
2023-04-19,plugin/k8saudit-eks,0.1.2,1369
2023-04-20,plugin/k8saudit-eks,0.1.0,97412
2023-04-20,plugin/k8saudit-eks,0.1.1,9084
2023-04-20,plugin/k8saudit-eks,0.1.2,1828
2023-04-21,plugin/k8saudit-eks,0.1.0,98450
2023-04-21,plugin/k8saudit-eks,0.1.1,9084
2023-04-21,plugin/k8saudit-eks,0.1.2,2506
2023-04-22,plugin/k8saudit-eks,0.1.0,100166
2023-04-22,plugin/k8saudit-eks,0.1.1,9084
2023-04-22,plugin/k8saudit-eks,0.1.2,3424
2023-04-23,plugin/k8saudit-eks,0.1.0,100232
2023-04-23,plugin/k8saudit-eks,0.1.1,9084
2023-04-23,plugin/k8saudit-eks,0.1.2,3886
2023-04-24,plugin/k8saudit-eks,0.1.0,100442
2023-04-24,plugin/k8saudit-eks,0.1.1,9084
2023-04-24,plugin/k8saudit-eks,0.1.2,4321
2023-04-25,plugin/k8saudit-eks,0.1.0,102032
2023-04-25,plugin/k8saudit-eks,0.1.1,9084
2023-04-25,plugin/k8saudit-eks,0.1.2,5179
2023-04-26,plugin/k8saudit-eks,0.1.0,103619
2023-04-26,plugin/k8saudit-eks,0.1.1,9084
2023-04-26,plugin/k8saudit-eks,0.1.2,5719
2023-04-27,plugin/k8saudit-eks,0.1.0,104786
2023-04-27,plugin/k8saudit-eks,0.1.1,9084
2023-04-27,plugin/k8saudit-eks,0.1.2,6334
2023-04-28,plugin/k8saudit-eks,0.1.0,106463
2023-04-28,plugin/k8saudit-eks,0.1.1,9084
2023-04-28,plugin/k8saudit-eks,0.1.2,7160
2023-04-29,plugin/k8saudit-eks,0.1.0,107672
2023-04-29,plugin/k8saudit-eks,0.1.1,9084
2023-04-29,plugin/k8saudit-eks,0.1.2,9644
2023-04-30,plugin/k8saudit-eks,0.1.0,107726
2023-04-30,plugin/k8saudit-eks,0.1.1,9084
2023-04-30,plugin/k8saudit-eks,0.1.2,9809
2023-05-01,plugin/k8saudit-eks,0.1.0,107924
2023-05-01,plugin/k8saudit-eks,0.1.1,9084
2023-05-01,plugin/k8saudit-eks,0.1.2,10208
2023-05-02,plugin/k8saudit-eks,0.1.0,109559
2023-05-02,plugin/k8saudit-eks,0.1.1,9084
2023-05-02,plugin/k8saudit-eks,0.1.2,12950
2023-05-03,plugin/k8saudit-eks,0.1.0,110321
2023-05-03,plugin/k8saudit-eks,0.1.1,9084
2023-05-03,plugin/k8saudit-eks,0.1.2,17264
2023-05-04,plugin/k8saudit-eks,0.1.0,111296
2023-05-04,plugin/k8saudit-eks,0.1.1,9084
2023-05-04,plugin/k8saudit-eks,0.1.2,26104
2023-05-05,plugin/k8saudit-eks,0.1.0,113006
2023-05-05,plugin/k8saudit-eks,0.1.1,9084
2023-05-05,plugin/k8saudit-eks,0.1.2,29133
2023-05-06,plugin/k8saudit-eks,0.1.0,114413
2023-05-06,plugin/k8saudit-eks,0.1.1,9084
2023-05-06,plugin/k8saudit-eks,0.1.2,30681
2023-05-07,plugin/k8saudit-eks,0.1.0,114437
2023-05-07,plugin/k8saudit-eks,0.1.1,9084
2023-05-07,plugin/k8saudit-eks,0.1.2,31809
2023-05-08,plugin/k8saudit-eks,0.1.0,114614
2023-05-08,plugin/k8saudit-eks,0.1.1,9084
2023-05-08,plugin/k8saudit-eks,0.1.2,32835
2023-05-09,plugin/k8saudit-eks,0.1.0,116267
2023-05-09,plugin/k8saudit-eks,0.1.1,9084
2023-05-09,plugin/k8saudit-eks,0.1.2,37650
2023-05-10,plugin/k8saudit-eks,0.1.0,118313
2023-05-10,plugin/k8saudit-eks,0.1.1,9084
2023-05-10,plugin/k8saudit-eks,0.1.2,40572
2023-05-11,plugin/k8saudit-eks,0.1.0,120035
2023-05-11,plugin/k8saudit-eks,0.1.1,9084
2023-05-11,plugin/k8saudit-eks,0.1.2,44064
2023-05-12,plugin/k8saudit-eks,0.1.0,121553
2023-05-12,plugin/k8saudit-eks,0.1.1,9084
2023-05-12,plugin/k8saudit-eks,0.1.2,49038
2023-05-13,plugin/k8saudit-eks,0.1.0,122750
2023-05-13,plugin/k8saudit-eks,0.1.1,9084
2023-05-13,plugin/k8saudit-eks,0.1.2,52518
2023-05-14,plugin/k8saudit-eks,0.1.0,122804
2023-05-14,plugin/k8saudit-eks,0.1.1,9084
2023-05-14,plugin/k8saudit-eks,0.1.2,53283
2023-05-15,plugin/k8saudit-eks,0.1.0,123086
2023-05-15,plugin/k8saudit-eks,0.1.1,9084
2023-05-15,plugin/k8saudit-eks,0.1.2,53934
2023-05-16,plugin/k8saudit-eks,0.1.0,124940
2023-05-16,plugin/k8saudit-eks,0.1.1,9084
2023-05-16,plugin/k8saudit-eks,0.1.2,56325
2023-05-17,plugin/k8saudit-eks,0.1.0,126869
2023-05-17,plugin/k8saudit-eks,0.1.1,9084
2023-05-17,plugin/k8saudit-eks,0.1.2,58893
2023-05-18,plugin/k8saudit-eks,0.1.0,128777
2023-05-18,plugin/k8saudit-eks,0.1.1,9084
2023-05-18,plugin/k8saudit-eks,0.1.2,61743
2023-05-19,plugin/k8saudit-eks,0.1.0,129854
2023-05-19,plugin/k8saudit-eks,0.1.1,9084
2023-05-19,plugin/k8saudit-eks,0.1.2,64140
2023-05-20,plugin/k8saudit-eks,0.1.0,132329
2023-05-20,plugin/k8saudit-eks,0.1.1,9084
2023-05-20,plugin/k8saudit-eks,0.1.2,66768
2023-05-21,plugin/k8saudit-eks,0.1.0,132398
2023-05-21,plugin/k8saudit-eks,0.1.1,9084
2023-05-21,plugin/k8saudit-eks,0.1.2,67392
2023-05-22,plugin/k8saudit-eks,0.1.0,132752
2023-05-22,plugin/k8saudit-eks,0.1.1,9084
2023-05-22,plugin/k8saudit-eks,0.1.2,68178
2023-05-23,plugin/k8saudit-eks,0.1.0,135098
2023-05-23,plugin/k8saudit-eks,0.1.1,9084
2023-05-23,plugin/k8saudit-eks,0.1.2,71323
2023-05-24,plugin/k8saudit-eks,0.1.0,137955
2023-05-24,plugin/k8saudit-eks,0.1.1,9084
2023-05-24,plugin/k8saudit-eks,0.1.2,75800
2023-05-25,plugin/k8saudit-eks,0.1.0,140525
2023-05-25,plugin/k8saudit-eks,0.1.1,9084
2023-05-25,plugin/k8saudit-eks,0.1.2,79460
2023-05-26,plugin/k8saudit-eks,0.1.0,142670
2023-05-26,plugin/k8saudit-eks,0.1.1,9084
2023-05-26,plugin/k8saudit-eks,0.1.2,84192
2023-05-27,plugin/k8saudit-eks,0.1.0,143084
2023-05-27,plugin/k8saudit-eks,0.1.1,9084
2023-05-27,plugin/k8saudit-eks,0.1.2,87285
2023-05-28,plugin/k8saudit-eks,0.1.0,143297
2023-05-28,plugin/k8saudit-eks,0.1.1,9084
2023-05-28,plugin/k8saudit-eks,0.1.2,88902
2023-05-29,plugin/k8saudit-eks,0.1.0,143630
2023-05-29,plugin/k8saudit-eks,0.1.1,9084
2023-05-29,plugin/k8saudit-eks,0.1.2,89845
2023-05-30,plugin/k8saudit-eks,0.1.0,144926
2023-05-30,plugin/k8saudit-eks,0.1.1,9084
2023-05-30,plugin/k8saudit-eks,0.1.2,91138
2023-05-31,plugin/k8saudit-eks,0.1.0,146807
2023-05-31,plugin/k8saudit-eks,0.1.1,9084
2023-05-31,plugin/k8saudit-eks,0.1.2,93952
2023-06-01,plugin/k8saudit-eks,0.1.0,150608
2023-06-01,plugin/k8saudit-eks,0.1.1,9084
2023-06-01,plugin/k8saudit-eks,0.1.2,96091
2023-06-02,plugin/k8saudit-eks,0.1.0,155567
2023-06-02,plugin/k8saudit-eks,0.1.1,9084
2023-06-02,plugin/k8saudit-eks,0.1.2,99280
2023-06-03,plugin/k8saudit-eks,0.1.0,157772
2023-06-03,plugin/k8saudit-eks,0.1.1,9084
2023-06-03,plugin/k8saudit-eks,0.1.2,101386
2023-06-04,plugin/k8saudit-eks,0.1.0,158069
2023-06-04,plugin/k8saudit-eks,0.1.1,9084
2023-06-04,plugin/k8saudit-eks,0.1.2,102217
2023-06-05,plugin/k8saudit-eks,0.1.0,158285
2023-06-05,plugin/k8saudit-eks,0.1.1,9084
2023-06-05,plugin/k8saudit-eks,0.1.2,103453
2023-06-06,plugin/k8saudit-eks,0.1.0,159488
2023-06-06,plugin/k8saudit-eks,0.1.1,9084
2023-06-06,plugin/k8saudit-eks,0.1.2,105758
2023-06-07,plugin/k8saudit-eks,0.1.0,162104
2023-06-07,plugin/k8saudit-eks,0.1.1,9084
2023-06-07,plugin/k8saudit-eks,0.1.2,108851
2023-06-08,plugin/k8saudit-eks,0.1.0,164291
2023-06-08,plugin/k8saudit-eks,0.1.1,9084
2023-06-08,plugin/k8saudit-eks,0.1.2,112160
2023-06-08,plugin/k8saudit-eks,0.2.0,1
2023-06-09,plugin/k8saudit-eks,0.1.0,166865
2023-06-09,plugin/k8saudit-eks,0.1.1,9084
2023-06-09,plugin/k8saudit-eks,0.1.2,114614
2023-06-09,plugin/k8saudit-eks,0.2.0,2
2023-06-10,plugin/k8saudit-eks,0.1.0,167117
2023-06-10,plugin/k8saudit-eks,0.1.1,9084
2023-06-10,plugin/k8saudit-eks,0.1.2,117031
2023-06-10,plugin/k8saudit-eks,0.2.0,2
2023-06-11,plugin/k8saudit-eks,0.1.0,167507
2023-06-11,plugin/k8saudit-eks,0.1.1,9084
2023-06-11,plugin/k8saudit-eks,0.1.2,118027
2023-06-11,plugin/k8saudit-eks,0.2.0,2
2023-06-12,plugin/k8saudit-eks,0.1.0,167906
2023-06-12,plugin/k8saudit-eks,0.1.1,9084
2023-06-12,plugin/k8saudit-eks,0.1.2,119035
2023-06-12,plugin/k8saudit-eks,0.2.0,2
2023-06-13,plugin/k8saudit-eks,0.1.0,172256
2023-06-13,plugin/k8saudit-eks,0.1.1,9084
2023-06-13,plugin/k8saudit-eks,0.1.2,121372
2023-06-13,plugin/k8saudit-eks,0.2.0,5
2023-06-14,plugin/k8saudit-eks,0.1.0,173360
2023-06-14,plugin/k8saudit-eks,0.1.1,9084
2023-06-14,plugin/k8saudit-eks,0.1.2,124775
2023-06-14,plugin/k8saudit-eks,0.2.0,47
2023-06-15,plugin/k8saudit-eks,0.1.0,175730
2023-06-15,plugin/k8saudit-eks,0.1.1,9084
2023-06-15,plugin/k8saudit-eks,0.1.2,128126
2023-06-15,plugin/k8saudit-eks,0.2.0,53
2023-06-16,plugin/k8saudit-eks,0.1.0,178520
