Date,Package,Version,Count
2024-07-10,plugin/kafka,0.1.2,2
2024-07-10,plugin/kafka,0.1.1,3
2024-07-10,plugin/kafka,0.1.0,2
2024-07-11,plugin/kafka,0.1.2,2
2024-07-11,plugin/kafka,0.1.1,3
2024-07-11,plugin/kafka,0.1.0,2
2024-07-12,plugin/kafka,0.1.2,2
2024-07-12,plugin/kafka,0.1.1,3
2024-07-12,plugin/kafka,0.1.0,2
2024-07-13,plugin/kafka,0.1.2,2
2024-07-13,plugin/kafka,0.1.1,3
2024-07-13,plugin/kafka,0.1.0,2
2024-07-14,plugin/kafka,0.1.2,2
2024-07-14,plugin/kafka,0.1.1,3
2024-07-14,plugin/kafka,0.1.0,2
2024-07-15,plugin/kafka,0.1.2,2
2024-07-15,plugin/kafka,0.1.1,3
2024-07-15,plugin/kafka,0.1.0,2
2024-07-16,plugin/kafka,0.1.2,2
2024-07-16,plugin/kafka,0.1.1,3
2024-07-16,plugin/kafka,0.1.0,2
2024-07-17,plugin/kafka,0.1.2,2
2024-07-17,plugin/kafka,0.1.1,3
2024-07-17,plugin/kafka,0.1.0,2
2024-07-18,plugin/kafka,0.1.2,2
2024-07-18,plugin/kafka,0.1.1,3
2024-07-18,plugin/kafka,0.1.0,2
2024-07-19,plugin/kafka,0.1.2,2
2024-07-19,plugin/kafka,0.1.1,3
2024-07-19,plugin/kafka,0.1.0,2
2024-07-20,plugin/kafka,0.1.2,2
2024-07-20,plugin/kafka,0.1.1,3
2024-07-20,plugin/kafka,0.1.0,2
2024-07-21,plugin/kafka,0.1.2,2
2024-07-21,plugin/kafka,0.1.1,3
2024-07-21,plugin/kafka,0.1.0,2
2024-07-22,plugin/kafka,0.1.2,2
2024-07-22,plugin/kafka,0.1.1,3
2024-07-22,plugin/kafka,0.1.0,2
2024-07-23,plugin/kafka,0.1.2,2
2024-07-23,plugin/kafka,0.1.1,3
2024-07-23,plugin/kafka,0.1.0,2
2024-07-24,plugin/kafka,0.1.2,2
2024-07-24,plugin/kafka,0.1.1,3
2024-07-24,plugin/kafka,0.1.0,2
2024-07-25,plugin/kafka,0.1.2,2
2024-07-25,plugin/kafka,0.1.1,3
2024-07-25,plugin/kafka,0.1.0,2
2024-07-26,plugin/kafka,0.1.2,4
2024-07-26,plugin/kafka,0.1.1,3
2024-07-26,plugin/kafka,0.1.0,2
2024-07-27,plugin/kafka,0.1.2,4
2024-07-27,plugin/kafka,0.1.1,3
2024-07-27,plugin/kafka,0.1.0,2
2024-07-28,plugin/kafka,0.1.2,4
2024-07-28,plugin/kafka,0.1.1,3
2024-07-28,plugin/kafka,0.1.0,2
2024-07-29,plugin/kafka,0.1.2,4
2024-07-29,plugin/kafka,0.1.1,3
2024-07-29,plugin/kafka,0.1.0,2
2024-07-30,plugin/kafka,0.1.2,4
2024-07-30,plugin/kafka,0.1.1,3
2024-07-30,plugin/kafka,0.1.0,2
2024-07-31,plugin/kafka,0.1.2,6
2024-07-31,plugin/kafka,0.1.1,3
2024-07-31,plugin/kafka,0.1.0,2
2024-08-02,plugin/kafka,0.1.2,6
2024-08-02,plugin/kafka,0.1.1,3
2024-08-02,plugin/kafka,0.1.0,2
2024-08-03,plugin/kafka,0.1.2,6
2024-08-03,plugin/kafka,0.1.1,3
2024-08-03,plugin/kafka,0.1.0,2
2024-08-04,plugin/kafka,0.1.2,6
2024-08-04,plugin/kafka,0.1.1,3
2024-08-04,plugin/kafka,0.1.0,2
2024-08-05,plugin/kafka,0.1.2,6
2024-08-05,plugin/kafka,0.1.1,3
2024-08-05,plugin/kafka,0.1.0,2
2024-08-06,plugin/kafka,0.1.2,6
2024-08-06,plugin/kafka,0.1.1,3
2024-08-06,plugin/kafka,0.1.0,2
2024-08-07,plugin/kafka,0.1.2,6
2024-08-07,plugin/kafka,0.1.1,3
2024-08-07,plugin/kafka,0.1.0,2
2024-08-08,plugin/kafka,0.1.2,6
2024-08-08,plugin/kafka,0.1.1,3
2024-08-08,plugin/kafka,0.1.0,2
2024-08-09,plugin/kafka,0.1.2,6
2024-08-09,plugin/kafka,0.1.1,3
2024-08-09,plugin/kafka,0.1.0,2
2024-08-10,plugin/kafka,0.1.2,6
2024-08-10,plugin/kafka,0.1.1,3
2024-08-10,plugin/kafka,0.1.0,2
2024-08-11,plugin/kafka,0.1.2,6
2024-08-11,plugin/kafka,0.1.1,3
2024-08-11,plugin/kafka,0.1.0,2
2024-08-12,plugin/kafka,0.1.2,6
2024-08-12,plugin/kafka,0.1.1,3
2024-08-12,plugin/kafka,0.1.0,2
2024-08-13,plugin/kafka,0.1.2,6
2024-08-13,plugin/kafka,0.1.1,3
2024-08-13,plugin/kafka,0.1.0,2
2024-08-15,plugin/kafka,0.1.2,6
2024-08-15,plugin/kafka,0.1.1,3
2024-08-15,plugin/kafka,0.1.0,2
2024-08-16,plugin/kafka,0.1.2,6
2024-08-16,plugin/kafka,0.1.1,3
2024-08-16,plugin/kafka,0.1.0,2
2024-08-17,plugin/kafka,0.1.2,6
2024-08-17,plugin/kafka,0.1.1,3
2024-08-17,plugin/kafka,0.1.0,2
2024-08-18,plugin/kafka,0.1.2,6
2024-08-18,plugin/kafka,0.1.1,3
2024-08-18,plugin/kafka,0.1.0,2
2024-08-19,plugin/kafka,0.1.2,6
2024-08-19,plugin/kafka,0.1.1,3
2024-08-19,plugin/kafka,0.1.0,2
2024-08-20,plugin/kafka,0.1.2,6
2024-08-20,plugin/kafka,0.1.1,3
2024-08-20,plugin/kafka,0.1.0,2
2024-08-21,plugin/kafka,0.1.2,6
2024-08-21,plugin/kafka,0.1.1,3
2024-08-21,plugin/kafka,0.1.0,2
2024-08-22,plugin/kafka,0.1.2,6
2024-08-22,plugin/kafka,0.1.1,3
2024-08-22,plugin/kafka,0.1.0,2
2024-08-23,plugin/kafka,0.1.2,6
2024-08-23,plugin/kafka,0.1.1,3
2024-08-23,plugin/kafka,0.1.0,2
2024-08-24,plugin/kafka,0.1.2,6
2024-08-24,plugin/kafka,0.1.1,3
2024-08-24,plugin/kafka,0.1.0,2
2024-08-25,plugin/kafka,0.1.2,6
2024-08-25,plugin/kafka,0.1.1,3
