Date,Package,Version,Count
2024-04-19,ruleset/k8saudit-gke,0.1.0,744
2024-04-20,ruleset/k8saudit-gke,0.1.0,748
2024-04-21,ruleset/k8saudit-gke,0.1.0,748
2024-04-22,ruleset/k8saudit-gke,0.1.0,752
2024-04-23,ruleset/k8saudit-gke,0.1.0,755
2024-04-24,ruleset/k8saudit-gke,0.1.0,765
2024-04-25,ruleset/k8saudit-gke,0.1.0,772
2024-04-26,ruleset/k8saudit-gke,0.1.0,777
2024-04-27,ruleset/k8saudit-gke,0.1.0,777
2024-07-10,ruleset/k8saudit-gke,0.3.1,23
2024-07-10,ruleset/k8saudit-gke,0.3.0,26
2024-07-10,ruleset/k8saudit-gke,0.2.0,33
2024-07-10,ruleset/k8saudit-gke,0.1.1,31
2024-07-10,ruleset/k8saudit-gke,0.1.0,808
2024-07-11,ruleset/k8saudit-gke,0.3.1,27
2024-07-11,ruleset/k8saudit-gke,0.3.0,26
2024-07-11,ruleset/k8saudit-gke,0.2.0,33
2024-07-11,ruleset/k8saudit-gke,0.1.1,31
2024-07-11,ruleset/k8saudit-gke,0.1.0,808
2024-07-12,ruleset/k8saudit-gke,0.3.1,27
2024-07-12,ruleset/k8saudit-gke,0.3.0,26
2024-07-12,ruleset/k8saudit-gke,0.2.0,33
2024-07-12,ruleset/k8saudit-gke,0.1.1,31
2024-07-12,ruleset/k8saudit-gke,0.1.0,808
2024-07-13,ruleset/k8saudit-gke,0.3.1,27
2024-07-13,ruleset/k8saudit-gke,0.3.0,26
2024-07-13,ruleset/k8saudit-gke,0.2.0,33
2024-07-13,ruleset/k8saudit-gke,0.1.1,31
2024-07-13,ruleset/k8saudit-gke,0.1.0,808
2024-07-14,ruleset/k8saudit-gke,0.3.1,27
2024-07-14,ruleset/k8saudit-gke,0.3.0,26
2024-07-14,ruleset/k8saudit-gke,0.2.0,33
2024-07-14,ruleset/k8saudit-gke,0.1.1,31
2024-07-14,ruleset/k8saudit-gke,0.1.0,808
2024-07-15,ruleset/k8saudit-gke,0.3.1,27
2024-07-15,ruleset/k8saudit-gke,0.3.0,26
2024-07-15,ruleset/k8saudit-gke,0.2.0,33
2024-07-15,ruleset/k8saudit-gke,0.1.1,31
2024-07-15,ruleset/k8saudit-gke,0.1.0,808
2024-07-16,ruleset/k8saudit-gke,0.3.1,30
2024-07-16,ruleset/k8saudit-gke,0.3.0,26
2024-07-16,ruleset/k8saudit-gke,0.2.0,33
2024-07-16,ruleset/k8saudit-gke,0.1.1,31
2024-07-16,ruleset/k8saudit-gke,0.1.0,808
2024-07-17,ruleset/k8saudit-gke,0.3.1,30
2024-07-17,ruleset/k8saudit-gke,0.3.0,26
2024-07-17,ruleset/k8saudit-gke,0.2.0,33
2024-07-17,ruleset/k8saudit-gke,0.1.1,31
2024-07-17,ruleset/k8saudit-gke,0.1.0,808
2024-07-18,ruleset/k8saudit-gke,0.3.1,30
2024-07-18,ruleset/k8saudit-gke,0.3.0,26
2024-07-18,ruleset/k8saudit-gke,0.2.0,33
2024-07-18,ruleset/k8saudit-gke,0.1.1,31
2024-07-18,ruleset/k8saudit-gke,0.1.0,808
2024-07-19,ruleset/k8saudit-gke,0.3.1,30
2024-07-19,ruleset/k8saudit-gke,0.3.0,26
2024-07-19,ruleset/k8saudit-gke,0.2.0,33
2024-07-19,ruleset/k8saudit-gke,0.1.1,31
2024-07-19,ruleset/k8saudit-gke,0.1.0,808
2024-07-20,ruleset/k8saudit-gke,0.3.1,30
2024-07-20,ruleset/k8saudit-gke,0.3.0,26
2024-07-20,ruleset/k8saudit-gke,0.2.0,33
2024-07-20,ruleset/k8saudit-gke,0.1.1,31
2024-07-20,ruleset/k8saudit-gke,0.1.0,808
2024-07-21,ruleset/k8saudit-gke,0.3.1,30
2024-07-21,ruleset/k8saudit-gke,0.3.0,26
2024-07-21,ruleset/k8saudit-gke,0.2.0,33
2024-07-21,ruleset/k8saudit-gke,0.1.1,31
2024-07-21,ruleset/k8saudit-gke,0.1.0,808
2024-07-22,ruleset/k8saudit-gke,0.3.1,30
2024-07-22,ruleset/k8saudit-gke,0.3.0,26
2024-07-22,ruleset/k8saudit-gke,0.2.0,33
2024-07-22,ruleset/k8saudit-gke,0.1.1,31
2024-07-22,ruleset/k8saudit-gke,0.1.0,808
2024-07-23,ruleset/k8saudit-gke,0.3.1,33
2024-07-23,ruleset/k8saudit-gke,0.3.0,26
2024-07-23,ruleset/k8saudit-gke,0.2.0,33
2024-07-23,ruleset/k8saudit-gke,0.1.1,31
2024-07-23,ruleset/k8saudit-gke,0.1.0,808
2024-07-24,ruleset/k8saudit-gke,0.3.1,33
2024-07-24,ruleset/k8saudit-gke,0.3.0,26
2024-07-24,ruleset/k8saudit-gke,0.2.0,33
2024-07-24,ruleset/k8saudit-gke,0.1.1,31
2024-07-24,ruleset/k8saudit-gke,0.1.0,808
2024-07-25,ruleset/k8saudit-gke,0.3.1,36
2024-07-25,ruleset/k8saudit-gke,0.3.0,26
2024-07-25,ruleset/k8saudit-gke,0.2.0,33
2024-07-25,ruleset/k8saudit-gke,0.1.1,31
2024-07-25,ruleset/k8saudit-gke,0.1.0,808
2024-07-26,ruleset/k8saudit-gke,0.3.1,36
2024-07-26,ruleset/k8saudit-gke,0.3.0,26
2024-07-26,ruleset/k8saudit-gke,0.2.0,33
2024-07-26,ruleset/k8saudit-gke,0.1.1,31
2024-07-26,ruleset/k8saudit-gke,0.1.0,808
2024-07-27,ruleset/k8saudit-gke,0.3.1,36
2024-07-27,ruleset/k8saudit-gke,0.3.0,26
2024-07-27,ruleset/k8saudit-gke,0.2.0,33
2024-07-27,ruleset/k8saudit-gke,0.1.1,31
2024-07-27,ruleset/k8saudit-gke,0.1.0,808
2024-07-28,ruleset/k8saudit-gke,0.3.1,36
2024-07-28,ruleset/k8saudit-gke,0.3.0,26
2024-07-28,ruleset/k8saudit-gke,0.2.0,33
2024-07-28,ruleset/k8saudit-gke,0.1.1,31
2024-07-28,ruleset/k8saudit-gke,0.1.0,808
2024-07-29,ruleset/k8saudit-gke,0.3.1,36
2024-07-29,ruleset/k8saudit-gke,0.3.0,26
2024-07-29,ruleset/k8saudit-gke,0.2.0,33
2024-07-29,ruleset/k8saudit-gke,0.1.1,31
2024-07-29,ruleset/k8saudit-gke,0.1.0,808
2024-07-30,ruleset/k8saudit-gke,0.3.1,39
2024-07-30,ruleset/k8saudit-gke,0.3.0,26
2024-07-30,ruleset/k8saudit-gke,0.2.0,33
2024-07-30,ruleset/k8saudit-gke,0.1.1,31
2024-07-30,ruleset/k8saudit-gke,0.1.0,808
2024-07-31,ruleset/k8saudit-gke,0.3.1,40
2024-07-31,ruleset/k8saudit-gke,0.3.0,26
2024-07-31,ruleset/k8saudit-gke,0.2.0,33
2024-07-31,ruleset/k8saudit-gke,0.1.1,31
2024-07-31,ruleset/k8saudit-gke,0.1.0,808
2024-08-02,ruleset/k8saudit-gke,0.3.1,40
2024-08-02,ruleset/k8saudit-gke,0.3.0,26
2024-08-02,ruleset/k8saudit-gke,0.2.0,33
2024-08-02,ruleset/k8saudit-gke,0.1.1,31
2024-08-02,ruleset/k8saudit-gke,0.1.0,808
2024-08-03,ruleset/k8saudit-gke,0.3.1,40
2024-08-03,ruleset/k8saudit-gke,0.3.0,26
2024-08-03,ruleset/k8saudit-gke,0.2.0,33
