Date,Package,Version,Count
2023-03-29,plugin/json,0.6.0,63943
2023-03-29,plugin/json,0.6.0,64182
2023-03-30,plugin/json,0.6.0,65439
2023-03-31,plugin/json,0.6.0,67514
2023-03-31,plugin/json,0.6.1,1231
2023-04-01,plugin/json,0.6.0,68743
2023-04-01,plugin/json,0.6.1,3436
2023-04-02,plugin/json,0.6.0,68852
2023-04-02,plugin/json,0.6.1,4426
2023-04-03,plugin/json,0.6.0,69244
2023-04-03,plugin/json,0.6.1,5293
2023-04-04,plugin/json,0.6.0,70853
2023-04-04,plugin/json,0.6.1,7758
2023-04-05,plugin/json,0.6.0,72157
2023-04-05,plugin/json,0.6.1,9867
2023-04-06,plugin/json,0.6.0,73528
2023-04-06,plugin/json,0.6.1,13392
2023-04-07,plugin/json,0.6.0,74856
2023-04-07,plugin/json,0.6.1,17148
2023-04-08,plugin/json,0.6.0,75867
2023-04-08,plugin/json,0.6.1,19474
2023-04-09,plugin/json,0.6.0,76456
2023-04-09,plugin/json,0.6.1,20919
2023-04-10,plugin/json,0.6.0,76694
2023-04-10,plugin/json,0.6.1,22075
2023-04-11,plugin/json,0.6.0,77448
2023-04-11,plugin/json,0.6.1,24048
2023-04-12,plugin/json,0.6.0,78529
2023-04-12,plugin/json,0.6.1,26423
2023-04-13,plugin/json,0.6.0,79429
2023-04-13,plugin/json,0.6.1,27028
2023-04-13,plugin/json,0.6.2,1971
2023-04-14,plugin/json,0.6.0,80410
2023-04-14,plugin/json,0.6.1,27028
2023-04-14,plugin/json,0.6.2,2673
2023-04-15,plugin/json,0.6.0,81735
2023-04-15,plugin/json,0.6.1,27028
2023-04-15,plugin/json,0.6.2,2808
2023-04-16,plugin/json,0.6.0,81906
2023-04-16,plugin/json,0.6.1,27028
2023-04-16,plugin/json,0.6.2,3141
2023-04-17,plugin/json,0.6.0,82093
2023-04-17,plugin/json,0.6.1,27028
2023-04-17,plugin/json,0.6.2,3264
2023-04-18,plugin/json,0.6.0,83573
2023-04-18,plugin/json,0.6.1,27028
2023-04-18,plugin/json,0.6.2,3681
2023-04-19,plugin/json,0.6.0,84721
2023-04-19,plugin/json,0.6.1,27028
2023-04-19,plugin/json,0.6.2,6719
2023-04-20,plugin/json,0.6.0,86768
2023-04-20,plugin/json,0.6.1,27028
2023-04-20,plugin/json,0.6.2,8802
2023-04-21,plugin/json,0.6.0,88049
2023-04-21,plugin/json,0.6.1,27028
2023-04-21,plugin/json,0.6.2,10360
2023-04-22,plugin/json,0.6.0,89845
2023-04-22,plugin/json,0.6.1,27028
2023-04-22,plugin/json,0.6.2,12053
2023-04-23,plugin/json,0.6.0,89995
2023-04-23,plugin/json,0.6.1,27028
2023-04-23,plugin/json,0.6.2,13249
2023-04-24,plugin/json,0.6.0,90248
2023-04-24,plugin/json,0.6.1,27028
2023-04-24,plugin/json,0.6.2,14185
2023-04-25,plugin/json,0.6.0,91882
2023-04-25,plugin/json,0.6.1,27028
2023-04-25,plugin/json,0.6.2,15806
2023-04-26,plugin/json,0.6.0,93511
2023-04-26,plugin/json,0.6.1,27028
2023-04-26,plugin/json,0.6.2,17364
2023-04-27,plugin/json,0.6.0,94726
2023-04-27,plugin/json,0.6.1,27028
2023-04-27,plugin/json,0.6.2,18452
2023-04-28,plugin/json,0.6.0,96474
2023-04-28,plugin/json,0.6.1,27028
2023-04-28,plugin/json,0.6.2,19694
2023-04-29,plugin/json,0.6.0,97719
2023-04-29,plugin/json,0.6.1,27028
2023-04-29,plugin/json,0.6.2,22935
2023-04-30,plugin/json,0.6.0,97805
2023-04-30,plugin/json,0.6.1,27028
2023-04-30,plugin/json,0.6.2,23652
2023-05-01,plugin/json,0.6.0,98035
2023-05-01,plugin/json,0.6.1,27028
2023-05-01,plugin/json,0.6.2,24677
2023-05-02,plugin/json,0.6.0,99714
2023-05-02,plugin/json,0.6.1,27028
2023-05-02,plugin/json,0.6.2,28044
2023-05-03,plugin/json,0.6.0,100523
2023-05-03,plugin/json,0.6.1,27028
2023-05-03,plugin/json,0.6.2,33008
2023-05-04,plugin/json,0.6.0,101536
2023-05-04,plugin/json,0.6.1,27028
2023-05-04,plugin/json,0.6.2,42583
2023-05-05,plugin/json,0.6.0,103278
2023-05-05,plugin/json,0.6.1,27028
2023-05-05,plugin/json,0.6.2,46154
2023-05-06,plugin/json,0.6.0,104733
2023-05-06,plugin/json,0.6.1,27028
