Date,Package,Version,Count
2025-05-09,plugin/collector,0.1.0,2
2025-05-10,plugin/collector,0.1.0,2
2025-05-11,plugin/collector,0.1.0,2
2025-05-12,plugin/collector,0.1.0,2
2025-05-13,plugin/collector,0.1.0,6
2025-05-14,plugin/collector,0.1.0,7
2025-05-15,plugin/collector,0.1.0,7
2025-05-16,plugin/collector,0.1.0,7
2025-05-17,plugin/collector,0.1.0,7
2025-05-18,plugin/collector,0.1.0,7
2025-05-19,plugin/collector,0.1.0,7
2025-05-20,plugin/collector,0.1.0,9
2025-05-21,plugin/collector,0.1.0,9
2025-05-22,plugin/collector,0.1.0,9
2025-05-23,plugin/collector,0.1.0,10
2025-05-24,plugin/collector,0.1.0,10
2025-05-25,plugin/collector,0.1.0,10
2025-05-26,plugin/collector,0.1.0,10
2025-05-27,plugin/collector,0.1.0,10
2025-05-28,plugin/collector,0.1.0,10
2025-05-29,plugin/collector,0.1.0,10
2025-05-30,plugin/collector,0.1.0,10
2025-05-31,plugin/collector,0.1.0,11
2025-06-01,plugin/collector,0.1.0,11
2025-06-02,plugin/collector,0.1.0,11
2025-06-03,plugin/collector,0.1.0,11
2025-06-04,plugin/collector,0.1.0,11
2025-06-05,plugin/collector,0.1.0,12
2025-06-06,plugin/collector,0.1.0,13
2025-06-07,plugin/collector,0.1.0,13
2025-06-08,plugin/collector,0.1.0,13
2025-06-09,plugin/collector,0.1.0,16
2025-06-10,plugin/collector,0.1.0,17
2025-06-11,plugin/collector,0.1.0,17
2025-06-12,plugin/collector,0.1.0,17
2025-06-13,plugin/collector,0.1.0,17
2025-06-14,plugin/collector,0.1.0,18
2025-06-15,plugin/collector,0.1.0,21
2025-06-16,plugin/collector,0.1.0,33
2025-06-17,plugin/collector,0.1.0,33
2025-06-18,plugin/collector,0.1.0,43
2025-06-19,plugin/collector,0.1.0,53
2025-06-20,plugin/collector,0.1.0,56
2025-06-21,plugin/collector,0.1.0,59
2025-06-22,plugin/collector,0.1.0,65
2025-06-23,plugin/collector,0.1.0,65
2025-06-24,plugin/collector,0.1.0,65
2025-06-25,plugin/collector,0.1.0,65
2025-06-26,plugin/collector,0.1.0,66
2025-06-27,plugin/collector,0.1.0,66
2025-06-28,plugin/collector,0.1.0,66
2025-06-29,plugin/collector,0.1.0,66
2025-06-30,plugin/collector,0.1.0,66
2025-07-01,plugin/collector,0.1.0,66
2025-07-02,plugin/collector,0.1.0,66
2025-07-03,plugin/collector,0.1.0,66
2025-07-04,plugin/collector,0.1.0,66
2025-07-05,plugin/collector,0.1.0,66
2025-07-06,plugin/collector,0.1.0,66
2025-07-07,plugin/collector,0.1.0,66
2025-07-08,plugin/collector,0.1.0,66
2025-07-09,plugin/collector,0.1.0,66
2025-07-10,plugin/collector,0.1.0,66
2025-07-11,plugin/collector,0.1.0,66
2025-07-12,plugin/collector,0.1.0,66
2025-07-13,plugin/collector,0.1.0,66
2025-07-14,plugin/collector,0.1.0,75
2025-07-15,plugin/collector,0.1.0,75
2025-07-16,plugin/collector,0.1.0,85
2025-07-17,plugin/collector,0.1.0,85
2025-07-18,plugin/collector,0.1.0,85
2025-07-19,plugin/collector,0.1.0,85
2025-07-20,plugin/collector,0.1.0,85
2025-07-21,plugin/collector,0.1.0,85
2025-07-22,plugin/collector,0.1.0,87
2025-07-23,plugin/collector,0.1.0,89
2025-07-24,plugin/collector,0.1.0,89
2025-07-25,plugin/collector,0.1.0,92
2025-07-26,plugin/collector,0.1.0,92
2025-07-27,plugin/collector,0.1.0,92
2025-07-28,plugin/collector,0.1.0,92
2025-07-29,plugin/collector,0.1.0,92
2025-07-30,plugin/collector,0.1.0,92
2025-07-31,plugin/collector,0.1.0,92
2025-08-01,plugin/collector,0.1.0,92
2025-08-02,plugin/collector,0.1.0,94
2025-08-03,plugin/collector,0.1.0,94
2025-08-04,plugin/collector,0.1.0,94
2025-08-05,plugin/collector,0.1.0,95
2025-08-06,plugin/collector,0.1.0,95
2025-08-07,plugin/collector,0.1.0,95
2025-08-08,plugin/collector,0.1.0,95
2025-08-09,plugin/collector,0.1.0,95
2025-08-10,plugin/collector,0.1.0,95
2025-08-11,plugin/collector,0.1.0,95
2025-08-12,plugin/collector,0.1.0,95
2025-08-13,plugin/collector,0.1.0,95
2025-08-14,plugin/collector,0.1.0,96
2025-08-15,plugin/collector,0.1.0,96
2025-08-16,plugin/collector,0.1.0,96
2025-08-17,plugin/collector,0.1.0,96
2025-08-18,plugin/collector,0.1.0,96
2025-08-19,plugin/collector,0.1.0,96
2025-08-20,plugin/collector,0.1.0,99
2025-08-21,plugin/collector,0.1.0,180
2025-08-22,plugin/collector,0.1.0,192
2025-08-23,plugin/collector,0.1.0,204
2025-08-24,plugin/collector,0.1.0,315
2025-08-25,plugin/collector,0.1.0,634
2025-08-26,plugin/collector,0.1.0,678
2025-08-27,plugin/collector,0.1.0,702
2025-08-28,plugin/collector,0.1.0,726
2025-08-29,plugin/collector,0.1.0,750
2025-08-30,plugin/collector,0.1.0,774
2025-08-31,plugin/collector,0.1.0,798
