Date,Package,Version,Count
2025-05-09,plugin/collector,0.1.0,2
2025-05-10,plugin/collector,0.1.0,2
2025-05-11,plugin/collector,0.1.0,2
2025-05-12,plugin/collector,0.1.0,2
2025-05-13,plugin/collector,0.1.0,6
2025-05-14,plugin/collector,0.1.0,7
2025-05-15,plugin/collector,0.1.0,7
2025-05-16,plugin/collector,0.1.0,7
2025-05-17,plugin/collector,0.1.0,7
2025-05-18,plugin/collector,0.1.0,7
2025-05-19,plugin/collector,0.1.0,7
2025-05-20,plugin/collector,0.1.0,9
2025-05-21,plugin/collector,0.1.0,9
2025-05-22,plugin/collector,0.1.0,9
2025-05-23,plugin/collector,0.1.0,10
2025-05-24,plugin/collector,0.1.0,10
2025-05-25,plugin/collector,0.1.0,10
2025-05-26,plugin/collector,0.1.0,10
2025-05-27,plugin/collector,0.1.0,10
2025-05-28,plugin/collector,0.1.0,10
2025-05-29,plugin/collector,0.1.0,10
2025-05-30,plugin/collector,0.1.0,10
2025-05-31,plugin/collector,0.1.0,11
2025-06-01,plugin/collector,0.1.0,11
2025-06-02,plugin/collector,0.1.0,11
2025-06-03,plugin/collector,0.1.0,11
2025-06-04,plugin/collector,0.1.0,11
2025-06-05,plugin/collector,0.1.0,12
2025-06-06,plugin/collector,0.1.0,13
2025-06-07,plugin/collector,0.1.0,13
2025-06-08,plugin/collector,0.1.0,13
2025-06-09,plugin/collector,0.1.0,16
2025-06-10,plugin/collector,0.1.0,17
2025-06-11,plugin/collector,0.1.0,17
2025-06-12,plugin/collector,0.1.0,17
2025-06-13,plugin/collector,0.1.0,17
2025-06-14,plugin/collector,0.1.0,18
2025-06-15,plugin/collector,0.1.0,21
2025-06-16,plugin/collector,0.1.0,33
2025-06-17,plugin/collector,0.1.0,33
2025-06-18,plugin/collector,0.1.0,43
2025-06-19,plugin/collector,0.1.0,53
2025-06-20,plugin/collector,0.1.0,56
2025-06-21,plugin/collector,0.1.0,59
2025-06-22,plugin/collector,0.1.0,65
2025-06-23,plugin/collector,0.1.0,65
2025-06-24,plugin/collector,0.1.0,65
2025-06-25,plugin/collector,0.1.0,65
2025-06-26,plugin/collector,0.1.0,66
2025-06-27,plugin/collector,0.1.0,66
2025-06-28,plugin/collector,0.1.0,66
2025-06-29,plugin/collector,0.1.0,66
2025-06-30,plugin/collector,0.1.0,66
2025-07-01,plugin/collector,0.1.0,66
2025-07-02,plugin/collector,0.1.0,66
2025-07-03,plugin/collector,0.1.0,66
2025-07-04,plugin/collector,0.1.0,66
2025-07-05,plugin/collector,0.1.0,66
2025-07-06,plugin/collector,0.1.0,66
2025-07-07,plugin/collector,0.1.0,66
2025-07-08,plugin/collector,0.1.0,66
2025-07-09,plugin/collector,0.1.0,66
2025-07-10,plugin/collector,0.1.0,66
2025-07-11,plugin/collector,0.1.0,66
2025-07-12,plugin/collector,0.1.0,66
2025-07-13,plugin/collector,0.1.0,66
2025-07-14,plugin/collector,0.1.0,75
2025-07-15,plugin/collector,0.1.0,75
2025-07-16,plugin/collector,0.1.0,85
2025-07-17,plugin/collector,0.1.0,85
2025-07-18,plugin/collector,0.1.0,85
2025-07-19,plugin/collector,0.1.0,85
2025-07-20,plugin/collector,0.1.0,85
2025-07-21,plugin/collector,0.1.0,85
2025-07-22,plugin/collector,0.1.0,87
2025-07-23,plugin/collector,0.1.0,89
2025-07-24,plugin/collector,0.1.0,89
2025-07-25,plugin/collector,0.1.0,92
2025-07-26,plugin/collector,0.1.0,92
2025-07-27,plugin/collector,0.1.0,92
2025-07-28,plugin/collector,0.1.0,92
2025-07-29,plugin/collector,0.1.0,92
2025-07-30,plugin/collector,0.1.0,92
2025-07-31,plugin/collector,0.1.0,92
2025-08-01,plugin/collector,0.1.0,92
2025-08-02,plugin/collector,0.1.0,94
2025-08-03,plugin/collector,0.1.0,94
2025-08-04,plugin/collector,0.1.0,94
2025-08-05,plugin/collector,0.1.0,95
2025-08-06,plugin/collector,0.1.0,95
2025-08-07,plugin/collector,0.1.0,95
2025-08-08,plugin/collector,0.1.0,95
2025-08-09,plugin/collector,0.1.0,95
2025-08-10,plugin/collector,0.1.0,95
2025-08-11,plugin/collector,0.1.0,95
2025-08-12,plugin/collector,0.1.0,95
2025-08-13,plugin/collector,0.1.0,95
2025-08-14,plugin/collector,0.1.0,96
2025-08-15,plugin/collector,0.1.0,96
2025-08-16,plugin/collector,0.1.0,96
2025-08-17,plugin/collector,0.1.0,96
2025-08-18,plugin/collector,0.1.0,96
2025-08-19,plugin/collector,0.1.0,96
2025-08-20,plugin/collector,0.1.0,99
2025-08-21,plugin/collector,0.1.0,180
2025-08-22,plugin/collector,0.1.0,192
2025-08-23,plugin/collector,0.1.0,204
2025-08-24,plugin/collector,0.1.0,315
2025-08-25,plugin/collector,0.1.0,634
2025-08-26,plugin/collector,0.1.0,678
2025-08-27,plugin/collector,0.1.0,702
2025-08-28,plugin/collector,0.1.0,726
2025-08-29,plugin/collector,0.1.0,750
2025-08-30,plugin/collector,0.1.0,774
2025-08-31,plugin/collector,0.1.0,798
2025-09-01,plugin/collector,0.1.0,822
2025-09-02,plugin/collector,0.1.0,883
2025-09-03,plugin/collector,0.1.0,907
2025-09-04,plugin/collector,0.1.0,931
2025-09-05,plugin/collector,0.1.0,985
2025-09-06,plugin/collector,0.1.0,1021
2025-09-07,plugin/collector,0.1.0,1053
2025-09-08,plugin/collector,0.1.0,1179
2025-09-09,plugin/collector,0.1.0,1211
2025-09-10,plugin/collector,0.1.0,1243
2025-09-11,plugin/collector,0.1.0,1275
2025-09-12,plugin/collector,0.1.0,1307
2025-09-13,plugin/collector,0.1.0,1339
2025-09-14,plugin/collector,0.1.0,1371
2025-09-15,plugin/collector,0.1.0,1557
2025-09-16,plugin/collector,0.1.0,1579
2025-09-17,plugin/collector,0.1.0,1591
2025-09-18,plugin/collector,0.1.0,1603
2025-09-19,plugin/collector,0.1.0,1615
2025-09-20,plugin/collector,0.1.0,1627
2025-09-21,plugin/collector,0.1.0,1639
2025-09-22,plugin/collector,0.1.0,1651
2025-09-23,plugin/collector,0.1.0,1663
2025-09-24,plugin/collector,0.1.0,1675
2025-09-25,plugin/collector,0.1.0,1687
2025-09-26,plugin/collector,0.1.0,1699
2025-09-27,plugin/collector,0.1.0,1711
2025-09-28,plugin/collector,0.1.0,1726
2025-09-29,plugin/collector,0.1.0,1736
2025-09-30,plugin/collector,0.1.0,1748
2025-10-01,plugin/collector,0.1.0,1760
2025-10-02,plugin/collector,0.1.0,1772
2025-10-03,plugin/collector,0.1.0,1784
2025-10-04,plugin/collector,0.1.0,1796
2025-10-05,plugin/collector,0.1.0,1808
2025-10-06,plugin/collector,0.1.0,1820
2025-10-07,plugin/collector,0.1.0,1832
2025-10-08,plugin/collector,0.1.0,1844
2025-10-09,plugin/collector,0.1.0,1856
2025-10-10,plugin/collector,0.1.0,1868
2025-10-11,plugin/collector,0.1.0,1880
2025-10-12,plugin/collector,0.1.0,1892
2025-10-13,plugin/collector,0.1.0,1904
2025-10-14,plugin/collector,0.1.0,1916
2025-10-15,plugin/collector,0.1.0,1928
2025-10-16,plugin/collector,0.1.0,1943
2025-10-17,plugin/collector,0.1.0,1955
2025-10-18,plugin/collector,0.1.0,1967
2025-10-19,plugin/collector,0.1.0,1979
2025-10-20,plugin/collector,0.1.0,1991
2025-10-21,plugin/collector,0.1.0,2006
2025-10-22,plugin/collector,0.1.0,2018
2025-10-23,plugin/collector,0.1.0,2030
2025-10-24,plugin/collector,0.1.0,2042
2025-10-25,plugin/collector,0.1.0,2057
2025-10-26,plugin/collector,0.1.0,2069
2025-10-27,plugin/collector,0.1.0,2081
2025-10-28,plugin/collector,0.1.0,2093
2025-10-29,plugin/collector,0.1.0,2105
2025-10-30,plugin/collector,0.1.0,2117
2025-10-31,plugin/collector,0.1.0,2129
2025-11-01,plugin/collector,0.1.0,2141
2025-11-02,plugin/collector,0.1.0,2153
2025-11-03,plugin/collector,0.1.0,2165
2025-11-04,plugin/collector,0.1.0,2177
2025-11-05,plugin/collector,0.1.0,2189
2025-11-06,plugin/collector,0.1.0,2201
2025-11-07,plugin/collector,0.1.0,2213
2025-11-08,plugin/collector,0.1.0,2225
2025-11-09,plugin/collector,0.1.0,2237
2025-11-10,plugin/collector,0.1.0,2249
2025-11-11,plugin/collector,0.1.0,2261
2025-11-12,plugin/collector,0.1.0,2304
2025-11-13,plugin/collector,0.1.0,2316
2025-11-14,plugin/collector,0.1.0,2327
2025-11-15,plugin/collector,0.1.0,2338
2025-11-16,plugin/collector,0.1.0,2350
2025-11-17,plugin/collector,0.1.0,2362
2025-11-18,plugin/collector,0.1.0,2374
