Date,Package,Version,Count
2023-03-29T15:02:21Z,plugin/json,0.6.0,63943
2023-03-29T16:47:41Z,plugin/json,0.6.0,64182
2023-03-30T06:18:52Z,plugin/json,0.6.0,65439
2023-03-31T06:18:53Z,plugin/json,0.6.0,67514
2023-04-01T06:17:08Z,plugin/json,0.6.0,68743
2023-04-02T06:16:41Z,plugin/json,0.6.0,68852
2023-04-03T06:18:02Z,plugin/json,0.6.0,69244
2023-04-04T06:17:43Z,plugin/json,0.6.0,70853
2023-04-05T06:18:19Z,plugin/json,0.6.0,72157
2023-04-06T06:17:47Z,plugin/json,0.6.0,73528
2023-04-07T06:18:04Z,plugin/json,0.6.0,74856
2023-04-08T06:16:47Z,plugin/json,0.6.0,75867
2023-04-09T06:16:35Z,plugin/json,0.6.0,76456
2023-04-10T06:17:57Z,plugin/json,0.6.0,76694
2023-04-11T06:18:03Z,plugin/json,0.6.0,77448
2023-04-12T06:18:13Z,plugin/json,0.6.0,78529
2023-04-13T06:18:08Z,plugin/json,0.6.0,79429
2023-04-14T06:18:09Z,plugin/json,0.6.0,80410
