Date,Package,Version,Count
2023-09-28T06:18:33Z,plugin/gcpaudit,0.1.3,18
2023-09-29T06:17:53Z,plugin/gcpaudit,0.1.3,18
2023-09-30T06:17:05Z,plugin/gcpaudit,0.1.3,18
2023-10-01T06:17:09Z,plugin/gcpaudit,0.1.3,18
2023-10-02T06:18:33Z,plugin/gcpaudit,0.1.3,18
2023-10-03T06:18:05Z,plugin/gcpaudit,0.1.3,18
2023-10-04T06:18:45Z,plugin/gcpaudit,0.1.3,18
2023-10-05T06:18:12Z,plugin/gcpaudit,0.1.3,18
2023-10-06T06:18:15Z,plugin/gcpaudit,0.1.3,18
2023-10-07T06:16:52Z,plugin/gcpaudit,0.1.3,18
2023-10-08T06:17:21Z,plugin/gcpaudit,0.1.3,18
2023-10-09T06:18:52Z,plugin/gcpaudit,0.1.3,18
2023-10-10T06:18:57Z,plugin/gcpaudit,0.1.3,18
2023-10-11T06:19:22Z,plugin/gcpaudit,0.1.3,18
2023-10-12T06:18:28Z,plugin/gcpaudit,0.1.3,18
2023-10-13T06:19:04Z,plugin/gcpaudit,0.1.3,18
2023-10-14T06:17:20Z,plugin/gcpaudit,0.1.3,18
2023-10-15T06:17:11Z,plugin/gcpaudit,0.1.3,18
2023-10-16T06:19:17Z,plugin/gcpaudit,0.1.3,18
2023-10-17T06:18:58Z,plugin/gcpaudit,0.1.3,18
2023-10-18T06:18:46Z,plugin/gcpaudit,0.1.3,18
2023-10-19T06:18:58Z,plugin/gcpaudit,0.1.3,18
2023-10-20T06:18:21Z,plugin/gcpaudit,0.1.3,18
2023-10-21T06:16:52Z,plugin/gcpaudit,0.1.3,18
2023-10-22T06:17:12Z,plugin/gcpaudit,0.1.3,18
2023-10-23T06:18:41Z,plugin/gcpaudit,0.1.3,18
2023-10-24T06:19:12Z,plugin/gcpaudit,0.1.3,18
2023-10-25T06:18:17Z,plugin/gcpaudit,0.1.3,18
2023-10-26T06:18:07Z,plugin/gcpaudit,0.1.3,18
2023-10-27T06:17:59Z,plugin/gcpaudit,0.1.3,18
2023-10-28T06:16:38Z,plugin/gcpaudit,0.1.3,18
2023-10-29T06:16:32Z,plugin/gcpaudit,0.1.3,18
2023-10-30T06:18:13Z,plugin/gcpaudit,0.1.3,18
2023-10-31T06:18:03Z,plugin/gcpaudit,0.1.3,18
2023-11-01T06:18:35Z,plugin/gcpaudit,0.1.3,18
2023-11-02T06:17:37Z,plugin/gcpaudit,0.1.3,20
2023-11-03T06:17:59Z,plugin/gcpaudit,0.1.3,22
2023-11-04T06:16:41Z,plugin/gcpaudit,0.1.3,24
2023-11-05T06:16:51Z,plugin/gcpaudit,0.1.3,24
2023-11-06T06:18:48Z,plugin/gcpaudit,0.1.3,24
2023-11-07T06:17:57Z,plugin/gcpaudit,0.1.3,26
2023-11-08T06:17:58Z,plugin/gcpaudit,0.1.3,26
2023-11-09T06:17:56Z,plugin/gcpaudit,0.1.3,28
2023-11-10T06:18:02Z,plugin/gcpaudit,0.1.3,30
2023-11-11T06:16:43Z,plugin/gcpaudit,0.1.3,32
2023-11-12T06:16:49Z,plugin/gcpaudit,0.1.3,36
2023-11-13T06:18:29Z,plugin/gcpaudit,0.1.3,42
2023-11-14T06:18:36Z,plugin/gcpaudit,0.1.3,44
2023-11-15T06:18:44Z,plugin/gcpaudit,0.1.3,44
2023-11-16T06:18:52Z,plugin/gcpaudit,0.1.3,46
2023-11-17T06:18:48Z,plugin/gcpaudit,0.1.3,48
2023-11-18T06:17:25Z,plugin/gcpaudit,0.1.3,48
2023-11-19T06:17:09Z,plugin/gcpaudit,0.1.3,50
2023-11-20T06:19:10Z,plugin/gcpaudit,0.1.3,50
2023-11-21T06:18:55Z,plugin/gcpaudit,0.1.3,52
2023-11-22T06:19:02Z,plugin/gcpaudit,0.1.3,52
2023-11-23T06:18:32Z,plugin/gcpaudit,0.1.3,54
2023-11-24T06:18:20Z,plugin/gcpaudit,0.1.3,54
2023-11-25T06:16:59Z,plugin/gcpaudit,0.1.3,58
2023-11-26T06:17:04Z,plugin/gcpaudit,0.1.3,58
2023-11-27T06:18:56Z,plugin/gcpaudit,0.1.3,58
2023-11-28T06:18:58Z,plugin/gcpaudit,0.1.3,60
2023-11-29T06:18:36Z,plugin/gcpaudit,0.1.3,62
2023-11-30T06:18:23Z,plugin/gcpaudit,0.1.3,64
2023-12-01T06:18:58Z,plugin/gcpaudit,0.1.3,64
2023-12-02T06:17:16Z,plugin/gcpaudit,0.1.3,66
2023-12-03T06:16:52Z,plugin/gcpaudit,0.1.3,66
2023-12-04T06:19:23Z,plugin/gcpaudit,0.1.3,68
2023-12-05T06:18:50Z,plugin/gcpaudit,0.1.3,68
2023-12-06T06:18:33Z,plugin/gcpaudit,0.1.3,68
2023-12-07T06:18:51Z,plugin/gcpaudit,0.1.3,68
2023-12-08T06:18:39Z,plugin/gcpaudit,0.1.3,70
2023-12-09T06:17:07Z,plugin/gcpaudit,0.1.3,72
2023-12-10T06:17:02Z,plugin/gcpaudit,0.1.3,72
2023-12-11T06:18:55Z,plugin/gcpaudit,0.1.3,74
2023-12-12T06:18:50Z,plugin/gcpaudit,0.1.3,76
2023-12-13T06:18:42Z,plugin/gcpaudit,0.1.3,78
2023-12-14T06:18:31Z,plugin/gcpaudit,0.1.3,80
2023-12-15T06:18:49Z,plugin/gcpaudit,0.1.3,80
2023-12-16T06:17:12Z,plugin/gcpaudit,0.1.3,80
