Date,Package,Version,Count
2023-12-22T06:18:21Z,ruleset/cloudtrail,0.9.1,61
2023-12-23T06:17:18Z,ruleset/cloudtrail,0.9.1,194
2023-12-24T06:17:11Z,ruleset/cloudtrail,0.9.1,214
2023-12-25T06:18:42Z,ruleset/cloudtrail,0.9.1,230
2023-12-26T06:18:05Z,ruleset/cloudtrail,0.9.1,250
2023-12-27T06:18:19Z,ruleset/cloudtrail,0.9.1,270
2023-12-28T06:18:01Z,ruleset/cloudtrail,0.9.1,290
2023-12-29T06:18:30Z,ruleset/cloudtrail,0.9.1,306
2023-12-30T06:16:59Z,ruleset/cloudtrail,0.9.1,326
2023-12-31T06:16:54Z,ruleset/cloudtrail,0.9.1,342
2024-01-01T06:19:19Z,ruleset/cloudtrail,0.9.1,362
2024-01-02T06:18:14Z,ruleset/cloudtrail,0.9.1,378
2024-01-03T06:18:22Z,ruleset/cloudtrail,0.9.1,434
2024-01-04T06:18:51Z,ruleset/cloudtrail,0.9.1,511
2024-01-05T06:18:35Z,ruleset/cloudtrail,0.9.1,577
2024-01-06T06:17:07Z,ruleset/cloudtrail,0.9.1,617
2024-01-07T06:17:42Z,ruleset/cloudtrail,0.9.1,637
2024-01-08T06:19:09Z,ruleset/cloudtrail,0.9.1,667
2024-01-09T06:18:40Z,ruleset/cloudtrail,0.9.1,760
2024-01-10T06:18:57Z,ruleset/cloudtrail,0.9.1,889
2024-01-11T06:18:47Z,ruleset/cloudtrail,0.9.1,10
2024-01-12T06:18:53Z,ruleset/cloudtrail,0.9.1,11
2024-01-13T06:17:17Z,ruleset/cloudtrail,0.9.1,13
2024-01-14T06:17:58Z,ruleset/cloudtrail,0.9.1,13
2024-01-15T06:19:45Z,ruleset/cloudtrail,0.9.1,13
2024-01-16T06:19:07Z,ruleset/cloudtrail,0.9.1,14
2024-01-17T06:18:59Z,ruleset/cloudtrail,0.9.1,15
2024-01-18T06:19:15Z,ruleset/cloudtrail,0.9.1,17
2024-01-19T06:19:08Z,ruleset/cloudtrail,0.9.1,19
2024-01-20T06:17:28Z,ruleset/cloudtrail,0.9.1,21
2024-01-21T06:18:13Z,ruleset/cloudtrail,0.9.1,21
2024-01-22T06:19:59Z,ruleset/cloudtrail,0.9.1,22
2024-01-23T06:19:17Z,ruleset/cloudtrail,0.9.1,22
2024-01-24T06:19:33Z,ruleset/cloudtrail,0.9.1,22
2024-01-25T06:19:08Z,ruleset/cloudtrail,0.9.1,22
2024-01-26T06:17:53Z,ruleset/cloudtrail,0.9.1,22
2024-01-27T06:15:31Z,ruleset/cloudtrail,0.9.1,22
2024-01-28T06:16:13Z,ruleset/cloudtrail,0.9.1,22
2024-01-29T06:17:38Z,ruleset/cloudtrail,0.9.1,22
2024-01-30T06:18:03Z,ruleset/cloudtrail,0.9.1,22
2024-01-31T06:17:29Z,ruleset/cloudtrail,0.9.1,22
2024-02-01T06:18:03Z,ruleset/cloudtrail,0.9.1,22
2024-02-02T06:17:03Z,ruleset/cloudtrail,0.9.1,22
2024-02-03T06:16:08Z,ruleset/cloudtrail,0.9.1,22
2024-02-04T06:16:09Z,ruleset/cloudtrail,0.9.1,22
2024-02-05T06:17:37Z,ruleset/cloudtrail,0.9.1,22
2024-02-06T06:17:27Z,ruleset/cloudtrail,0.9.1,22
2024-02-07T06:17:08Z,ruleset/cloudtrail,0.9.1,22
2024-02-08T06:17:54Z,ruleset/cloudtrail,0.9.1,22
2024-02-09T06:17:19Z,ruleset/cloudtrail,0.9.1,22
2024-02-10T06:16:34Z,ruleset/cloudtrail,0.9.1,22
2024-02-11T06:17:25Z,ruleset/cloudtrail,0.9.1,22
2024-02-12T06:18:11Z,ruleset/cloudtrail,0.9.1,22
2024-02-13T06:19:08Z,ruleset/cloudtrail,0.9.1,22
2024-02-14T06:18:10Z,ruleset/cloudtrail,0.9.1,22
2024-02-15T06:17:52Z,ruleset/cloudtrail,0.9.1,22
2024-02-16T06:17:19Z,ruleset/cloudtrail,0.9.1,22
2024-02-17T06:17:07Z,ruleset/cloudtrail,0.9.1,22
2024-02-18T06:16:56Z,ruleset/cloudtrail,0.9.1,22
2024-02-19T06:18:51Z,ruleset/cloudtrail,0.9.1,23
2024-02-20T06:18:10Z,ruleset/cloudtrail,0.9.1,23
2024-02-21T06:17:28Z,ruleset/cloudtrail,0.9.1,24
2024-02-22T06:17:56Z,ruleset/cloudtrail,0.9.1,24
2024-02-23T06:18:04Z,ruleset/cloudtrail,0.9.1,25
2024-02-24T06:16:00Z,ruleset/cloudtrail,0.9.1,25
2024-02-25T06:16:18Z,ruleset/cloudtrail,0.9.1,25
2024-02-26T06:18:46Z,ruleset/cloudtrail,0.9.1,25
2024-02-27T06:17:10Z,ruleset/cloudtrail,0.9.1,25
2024-02-28T06:17:49Z,ruleset/cloudtrail,0.9.1,25
2024-02-29T06:18:05Z,ruleset/cloudtrail,0.9.1,25
2024-03-01T06:18:13Z,ruleset/cloudtrail,0.9.1,25
2024-03-02T06:18:24Z,ruleset/cloudtrail,0.9.1,25
2024-03-03T06:17:06Z,ruleset/cloudtrail,0.9.1,25
2024-03-04T07:04:06Z,ruleset/cloudtrail,0.9.1,25
2024-03-05T06:17:20Z,ruleset/cloudtrail,0.9.1,25
2024-03-06T06:19:17Z,ruleset/cloudtrail,0.9.1,25
2024-03-07T06:18:25Z,ruleset/cloudtrail,0.9.1,25
2024-03-08T06:17:18Z,ruleset/cloudtrail,0.9.1,25
2024-03-09T06:19:01Z,ruleset/cloudtrail,0.9.1,25
2024-03-10T06:16:15Z,ruleset/cloudtrail,0.9.1,25
2024-03-11T06:18:02Z,ruleset/cloudtrail,0.9.1,25
2024-03-12T06:17:47Z,ruleset/cloudtrail,0.9.1,25
2024-03-13T06:18:12Z,ruleset/cloudtrail,0.9.1,25
2024-03-14T06:17:37Z,ruleset/cloudtrail,0.9.1,25
2024-03-15T06:17:43Z,ruleset/cloudtrail,0.9.1,25
2024-03-16T06:16:29Z,ruleset/cloudtrail,0.9.1,25
2024-03-17T06:16:13Z,ruleset/cloudtrail,0.9.1,25
2024-03-18T06:18:17Z,ruleset/cloudtrail,0.9.1,25
2024-03-19T06:17:30Z,ruleset/cloudtrail,0.9.1,25
2024-03-20T06:17:45Z,ruleset/cloudtrail,0.9.1,25
2024-03-21T06:17:54Z,ruleset/cloudtrail,0.9.1,25
2024-03-22T06:17:33Z,ruleset/cloudtrail,0.9.1,25
2024-03-23T06:21:01Z,ruleset/cloudtrail,0.9.1,25
2024-03-24T06:17:27Z,ruleset/cloudtrail,0.9.1,25
2024-03-25T06:18:43Z,ruleset/cloudtrail,0.9.1,25
2024-03-26T06:18:25Z,ruleset/cloudtrail,0.9.1,25
2024-03-27T06:17:36Z,ruleset/cloudtrail,0.9.1,25
2024-03-28T06:17:49Z,ruleset/cloudtrail,0.9.1,25
2024-03-29T06:17:24Z,ruleset/cloudtrail,0.9.1,25
2024-03-30T06:16:37Z,ruleset/cloudtrail,0.9.1,25
2024-03-31T06:16:35Z,ruleset/cloudtrail,0.9.1,25
2024-04-01T06:18:41Z,ruleset/cloudtrail,0.9.1,26
2024-04-02T06:18:18Z,ruleset/cloudtrail,0.9.1,26
2024-04-03T06:17:47Z,ruleset/cloudtrail,0.9.1,26
2024-04-04T06:17:45Z,ruleset/cloudtrail,0.9.1,26
2024-04-05T06:17:55Z,ruleset/cloudtrail,0.9.1,26
2024-04-06T06:17:05Z,ruleset/cloudtrail,0.9.1,26
2024-04-07T06:16:23Z,ruleset/cloudtrail,0.9.1,26
2024-04-08T06:18:49Z,ruleset/cloudtrail,0.9.1,26
2024-04-09T06:18:33Z,ruleset/cloudtrail,0.9.1,26
2024-04-10T06:18:36Z,ruleset/cloudtrail,0.9.1,26
2024-04-11T06:18:26Z,ruleset/cloudtrail,0.9.1,26
2024-04-12T06:18:36Z,ruleset/cloudtrail,0.9.1,26
2024-04-13T06:14:14Z,ruleset/cloudtrail,0.9.1,26
2024-04-14T07:54:32Z,ruleset/cloudtrail,0.9.1,26
2024-04-15T06:18:10Z,ruleset/cloudtrail,0.9.1,26
2024-04-16T06:18:00Z,ruleset/cloudtrail,0.9.1,26
2024-04-17T06:20:36Z,ruleset/cloudtrail,0.9.1,26
2024-04-18T06:18:51Z,ruleset/cloudtrail,0.9.1,26
2024-04-19T06:18:55Z,ruleset/cloudtrail,0.9.1,26
2024-04-20T06:17:04Z,ruleset/cloudtrail,0.9.1,26
2024-04-21T06:18:42Z,ruleset/cloudtrail,0.9.1,26
2024-04-22T06:18:44Z,ruleset/cloudtrail,0.9.1,26
2024-04-23T06:20:25Z,ruleset/cloudtrail,0.9.1,26
2024-04-24T06:21:12Z,ruleset/cloudtrail,0.9.1,26
2024-04-25T06:18:43Z,ruleset/cloudtrail,0.9.1,26
2024-04-26T06:19:43Z,ruleset/cloudtrail,0.9.1,26
2024-04-27T06:18:57Z,ruleset/cloudtrail,0.9.1,26
2024-04-28T06:18:40Z,ruleset/cloudtrail,0.9.1,26
2024-04-29T06:19:43Z,ruleset/cloudtrail,0.9.1,26
2024-04-30T06:19:36Z,ruleset/cloudtrail,0.9.1,26
2024-05-01T06:20:13Z,ruleset/cloudtrail,0.9.1,26
2024-05-02T06:18:52Z,ruleset/cloudtrail,0.9.1,26
2024-05-03T06:19:05Z,ruleset/cloudtrail,0.9.1,26
2024-05-04T06:18:13Z,ruleset/cloudtrail,0.9.1,26
2024-05-05T06:19:21Z,ruleset/cloudtrail,0.9.1,26
2024-05-06T06:19:51Z,ruleset/cloudtrail,0.9.1,26
2024-05-07T06:19:44Z,ruleset/cloudtrail,0.9.1,26
2024-05-08T06:16:51Z,ruleset/cloudtrail,0.9.1,26
2024-05-09T06:19:28Z,ruleset/cloudtrail,0.9.1,26
2024-05-10T06:19:04Z,ruleset/cloudtrail,0.9.1,26
2024-05-11T06:18:03Z,ruleset/cloudtrail,0.9.1,26
2024-05-12T06:19:06Z,ruleset/cloudtrail,0.9.1,26
2024-05-13T06:20:02Z,ruleset/cloudtrail,0.9.1,26
